                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.3866,                 2.0908,                 1.1393,                 1.3498,                0.81598,                  0.645,                0.74412,                0.38489,                0.80966,                   0.64,                0.74316,                0.38828,                 1.7243,                 2.5361,                 1.2425,                 1.5509,               0.001307,               0.001307,               0.001307
                     38,                 1.3733,                  2.072,                 1.0197,                 1.2794,                0.74769,                  0.635,                0.70853,                0.36574,                0.74912,                  0.635,                0.71141,                0.36038,                 1.7242,                 2.6298,                 1.3186,                 1.5316,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.3666,                 2.0681,                 1.0516,                 1.3031,                 0.6941,                  0.655,                0.71613,                0.34147,                0.69046,                0.64688,                0.70995,                0.35251,                 1.7895,                 2.6126,                 1.2873,                 1.6242,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.3699,                 2.0905,                 1.0489,                 1.3296,                0.66277,                  0.645,                0.68344,                0.33064,                 0.6261,                0.63633,                0.65275,                0.33526,                  1.753,                 2.5406,                 1.3662,                 1.6033,              0.0012476,              0.0012476,              0.0012476
                     41,                  1.326,                 2.0129,                 1.0075,                   1.28,                0.70442,                   0.64,                0.68993,                0.37003,                0.67378,                 0.6506,                0.68048,                0.36582,                 1.7469,                 2.5055,                 1.2756,                 1.5949,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.3192,                  1.984,                 1.0578,                 1.2936,                0.72596,                   0.59,                0.68555,                0.35474,                0.70844,                   0.61,                0.70613,                0.36291,                 1.7125,                 2.5316,                 1.2694,                 1.6183,               0.001208,               0.001208,               0.001208
                     43,                 1.3122,                 1.9801,                0.98825,                 1.3025,                0.72022,                  0.625,                0.71224,                0.37317,                 0.7375,                   0.64,                0.72887,                0.37586,                  1.672,                 2.4972,                 1.2777,                 1.5497,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.3478,                 2.0017,                 1.0216,                 1.3139,                0.74301,                0.66498,                0.74106,                0.39798,                0.74161,                  0.665,                0.74109,                0.37727,                 1.6767,                  2.559,                 1.1726,                 1.5493,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.2907,                 1.9893,                0.98585,                 1.2797,                0.70831,                  0.615,                0.67849,                 0.3712,                0.73817,                   0.62,                 0.6866,                0.35801,                 1.6542,                 2.5845,                 1.3188,                 1.5173,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.2693,                 2.0042,                0.97359,                 1.2597,                   0.73,                0.63536,                0.71816,                0.37302,                0.72566,                0.62162,                0.69364,                 0.3575,                 1.7091,                 2.5489,                 1.2738,                 1.5791,              0.0011288,              0.0011288,              0.0011288
